"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         105,      -6.408601149,      -6.275095267,      -6.502559265,      -6.426562237,      -5.779798104,      -9.506120714
          0,           0,         106,       -6.42664901,      -6.283306607,      -6.511205481,      -6.434777936,      -5.797874823,      -9.507634499
          0,           0,         107,      -6.441541521,      -6.291302881,      -6.519833079,      -6.442916415,      -5.812899059,         -9.508995
          0,           0,         108,      -6.454282952,      -6.298862885,      -6.528353549,      -6.450880945,      -5.825764239,      -9.510200009
          0,           0,         109,      -6.465730835,      -6.306043332,      -6.536768353,      -6.458908816,       -5.83731591,      -9.511336754
          0,           0,         110,      -6.474649124,       -6.31290669,      -6.545102542,      -6.466691507,      -5.846440085,      -9.512345752
          0,           0,         111,       -6.48131046,      -6.319537602,      -6.553334894,      -6.474298157,      -5.853374221,      -9.513184767
          0,           0,         112,      -6.485981253,      -6.325844342,      -6.561431746,      -6.481647515,      -5.858324757,      -9.513957784
          0,           0,         113,      -6.489033154,      -6.331788935,       -6.56936133,      -6.488704265,      -5.861624073,      -9.514717543
          0,           0,         114,      -6.491530704,      -6.337386941,      -6.577100888,      -6.495592446,      -5.864320043,      -9.515480224
          0,           0,         115,      -6.495359465,      -6.342717689,      -6.584622639,      -6.502639323,      -5.868252477,      -9.516281859
          0,           0,         116,      -6.498879813,      -6.347955602,      -6.591920452,      -6.509538658,      -5.871948747,      -9.517159921
          0,           0,         117,      -6.501749413,      -6.353070515,      -6.598953687,      -6.516205786,      -5.875007941,      -9.518151293
          0,           0,         118,      -6.505324612,      -6.357924037,       -6.60565698,      -6.522493268,      -5.878657456,      -9.519284173
          0,           0,         119,       -6.50895939,      -6.362551892,      -6.612036191,      -6.528467066,       -5.88229536,      -9.520575924
          0,           0,         120,      -6.512413885,      -6.366901656,      -6.618065353,      -6.534178077,      -5.885706166,        -9.5220436
          0,           0,         121,      -6.516524553,      -6.371162928,      -6.623689849,      -6.539675995,      -5.889741655,      -9.523699063
          0,           0,         122,      -6.520962805,      -6.375283497,      -6.628938104,      -6.544691351,      -5.894058218,      -9.525544683
          0,           0,         123,       -6.52616206,      -6.379268746,      -6.633843391,      -6.549337108,       -5.89906053,      -9.527557803
          0,           0,         124,      -6.532414828,      -6.383212216,      -6.638438745,      -6.553635301,      -5.905057653,      -9.529729566
          0,           0,         125,      -6.545313831,      -6.387140068,      -6.642769163,      -6.557762748,       -5.91743245,      -9.532043656
          0,           0,         126,      -6.558080859,      -6.391584105,      -6.647133315,      -6.562313979,       -5.92994387,      -9.534475099
          0,           0,         127,      -6.571233047,      -6.396294399,      -6.651415184,      -6.567219982,      -5.942943402,      -9.536994816
          0,           0,         128,      -6.584187918,      -6.401057589,      -6.655612636,      -6.572005224,      -5.955805664,      -9.539583958
          0,           0,         129,      -6.596080363,      -6.405778358,      -6.659792568,      -6.576603816,      -5.967619181,      -9.542215411
          0,           0,         130,      -6.607542858,      -6.410301443,      -6.663971407,      -6.581039182,      -5.978951951,      -9.544866427
          0,           0,         131,      -6.619106715,       -6.41462128,       -6.66818445,      -6.585396781,       -5.99032795,      -9.547515524
          0,           0,         132,          -6.63059,      -6.418816785,      -6.672490475,      -6.589786739,      -6.001617633,      -9.550121358
          0,           0,         133,      -6.641833062,      -6.422904729,      -6.676914031,      -6.594308879,      -6.012681234,      -9.552682745
          0,           0,         134,      -6.652435593,      -6.426921957,      -6.681477684,      -6.598992137,      -6.023147916,      -9.555195877
          0,           0,         135,      -6.662212863,      -6.430861917,      -6.686181118,      -6.603864088,      -6.032833457,      -9.557675327
          0,           0,         136,       -6.67154924,      -6.434684697,      -6.690989232,      -6.608821253,      -6.042109086,      -9.560116826
          0,           0,         137,      -6.679929783,      -6.438419429,      -6.695908655,      -6.613889245,      -6.050467201,      -9.562535959
          0,           0,         138,      -6.687864971,      -6.442188231,      -6.700924171,      -6.619166757,      -6.058409194,      -9.564878386
          0,           0,         139,       -6.69557016,      -6.445999936,      -6.706039604,      -6.624562931,       -6.06615206,      -9.567153733
          0,           0,         140,      -6.703416618,      -6.449869353,      -6.711243607,      -6.630137008,      -6.074050228,      -9.569392836
          0,           0,         141,      -6.710358985,      -6.453788718,      -6.716549898,      -6.635768756,      -6.081107421,      -9.571562339
          0,           0,         142,      -6.716024362,      -6.457636209,      -6.721917775,      -6.641391743,      -6.086936143,      -9.573677877
          0,           0,         143,      -6.721051178,       -6.46136459,      -6.727301413,      -6.646949803,      -6.092093814,      -9.575754477
          0,           0,         144,      -6.726232391,      -6.465050619,      -6.732678184,       -6.65243696,      -6.097325709,      -9.577802467
          0,           0,         145,        -6.7321855,      -6.468636113,      -6.738046051,      -6.657906787,      -6.103258279,      -9.579834481
