"Time_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
         41,          49,      -6.909201462,       -4.74648095,      -4.180382945,      -1.459396095,      -4.869183164,      0.9329898399,      0.2247237301,      0.2964816262,                 0,                 0,                 0,      0.1366707114,      0.1282215334,      0.3492296493,                 0,        1.31931606,       1.117341941,      -2.511011202,      -2.662168864,      -2.312140819,      -2.512984747,      -4.180558963,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         42,           8,      -7.656405947,      -5.110648319,      -5.171025241,      -2.184236756,      -4.279923018,      0.9329898399,      0.5133523626,       0.940589507,                 0,                 0,                 0,      0.1879492766,      0.2159195482,       1.049579924,                 0,         1.8322493,       1.091275352,      -3.247917303,      -3.008325636,      -3.282024739,      -3.227155087,      -3.581271937,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         43,           8,      -7.736434006,       -5.09726962,      -5.165972931,      -2.239076733,      -4.240931695,      0.9329898399,      0.7349289061,       1.569691371,                 0,                 0,                 0,      0.2124191897,      0.2438826662,        1.71597574,                 0,        2.13584111,       1.175241029,      -3.309610823,      -2.980958222,      -3.259369699,      -3.262895084,      -3.597742143,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         44,           8,      -7.738179287,      -5.058060158,      -5.154973103,      -2.236946694,      -4.184274698,      0.9329898399,      0.9383198748,       2.373345832,                 0,                 0,                 0,      0.2753702057,       0.203420592,       2.543980088,                 0,       2.529356881,        1.26088508,       -3.28715252,      -2.929923723,      -3.234214247,       -3.23608378,      -3.637502213,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         45,           9,      -7.789503019,      -5.052236417,      -5.266141994,      -2.280671633,      -4.252088503,      0.9329898399,       1.251164754,       3.509997849,                 0,                 0,                 0,      0.4395094682,      0.1702707502,       3.722432808,                 0,       2.805384213,       1.287877807,      -3.316337491,      -2.915570597,      -3.337149472,      -3.257965244,      -3.802807231,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         46,          12,      -7.634784761,      -5.130355737,      -5.081049862,      -2.152835869,      -4.458261776,      0.9329898399,       1.820477209,        4.93096294,                 0,                 0,                 0,      0.7547867688,      0.2992569719,       5.247759336,                 0,       2.708610092,       1.218384716,      -3.145181119,      -3.000713502,       -3.15506132,      -3.114549744,      -4.103579061,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         47,          49,      -6.775106065,      -4.939915976,      -4.448618878,      -1.296898431,      -5.109471986,      0.9329898399,       2.528000504,        6.34373704,                 0,                 0,                 0,       1.144158122,      0.5628096921,       6.805661719,                 0,       2.509389152,       1.365246543,      -2.271863972,        -2.8464596,      -2.541329404,      -2.245066894,       -4.90428977,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         48,          49,      -6.653679889,      -4.744481084,      -4.160102821,       -1.17546386,      -5.479444093,      0.9329898399,       2.958839976,       7.117882126,                 0,                 0,                 0,       1.431159076,      0.7484854101,       7.671945618,                 0,       2.405632675,       1.280183255,      -2.139357021,      -2.697177489,      -2.286293249,      -2.109092255,       -5.48382027,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         49,          49,      -6.675508549,      -4.745987527,      -4.232211345,      -1.184318132,      -5.485281778,      0.9329898399,       3.183326388,        7.49990249,                 0,                 0,                 0,       1.646607411,      0.8514708883,       8.102906983,                 0,       2.355995451,       1.210157217,      -2.157979609,      -2.740624957,      -2.398499621,      -2.107193694,      -5.651161419,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         50,          49,      -6.564408531,       -4.73474093,      -4.189528523,       -1.08526759,      -5.233203278,      0.9329898399,       3.057339262,       7.057074064,                 0,                 0,                 0,        1.56808756,      0.8604593019,       7.642592983,                 0,       2.308240421,       1.198166668,      -2.052552713,      -2.777934673,      -2.392537768,      -2.007532802,       -5.48031384,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
