"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
15, 9.375399947170000e-01, -1.247028533550715e-02, 7.122671521488440e-02, -1.231673060725003e-01, -1.560734289644179e-01, 1.930196748573209e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.655599996372945e-03
16, 9.296900033950000e-01, -1.366786885053205e-02, 6.717250014177356e-02, -1.189710468251752e-01, -1.450539540741932e-01, 1.812557273831943e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.810757970666340e-03
17, 9.214000105860000e-01, -1.487565924391517e-02, 6.281861537577575e-02, -1.136943154880359e-01, -1.388015727175815e-01, 1.689410948842423e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.911017275062823e-03
18, 9.126999974250000e-01, -1.611589373461388e-02, 6.106397718330437e-02, -1.110791639782458e-01, -1.362161185884484e-01, 1.632417171356944e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.398068287972219e-03
19, 9.035800099370001e-01, -1.740658214233212e-02, 6.258552092463203e-02, -1.122012004039271e-01, -1.356605705141418e-01, 1.663591520854629e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.752677388185013e-03
20, 8.940600156780000e-01, -1.875065336874019e-02, 6.712432572370006e-02, -1.168957350004327e-01, -1.358475369002257e-01, 1.772603438456535e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.066501112778851e-03
21, 8.841500282290000e-01, -2.014436614040085e-02, 7.380262554078069e-02, -1.241720577189821e-01, -1.359295899696229e-01, 1.937855635025484e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.483538399860812e-03
22, 8.738499879840000e-01, -2.158114807345943e-02, 8.165558823480921e-02, -1.329078101646715e-01, -1.354689130083355e-01, 2.134679366341576e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.079263216999598e-03
23, 8.631799817090000e-01, -2.305064193856111e-02, 9.005686673567899e-02, -1.423180183432908e-01, -1.344680730382895e-01, 2.344173987146437e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.773026315592620e-03
24, 8.521599769590000e-01, -2.454358460022748e-02, 9.846145210405237e-02, -1.517598233080592e-01, -1.329658637479390e-01, 2.555349810618014e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.621343681747193e-03
25, 8.407700061800000e-01, -2.605776536687062e-02, 1.067815898982352e-01, -1.610865721535479e-01, -1.311877544438339e-01, 2.762665464740112e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.510207242753995e-03
26, 8.290500044819999e-01, -2.758446081778498e-02, 1.149181000233359e-01, -1.701866537743633e-01, -1.292140340803793e-01, 2.966957866459598e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.446633933794873e-03
27, 8.170099854470000e-01, -2.912004449776915e-02, 1.229948522439505e-01, -1.791858811444622e-01, -1.271462147120136e-01, 3.169429832286364e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.368601462764064e-03
28, 8.046399950980000e-01, -3.066379923766199e-02, 1.311296172483106e-01, -1.882101872409348e-01, -1.250187396816675e-01, 3.373139245450225e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.224108529444116e-03
29, 7.919700145720000e-01, -3.221000016588303e-02, 1.393813169314508e-01, -1.973479732922691e-01, -1.228000779993130e-01, 3.580790894438690e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.038692073487219e-03
30, 7.790099978450000e-01, -3.375530896720282e-02, 1.478698403767974e-01, -2.067114907598933e-01, -1.205163414856485e-01, 3.792939325317513e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.439352921094001e-04
31, 7.657799720760000e-01, -3.529496272964615e-02, 1.565358691703934e-01, -2.162532042289576e-01, -1.180994785783627e-01, 4.010665307461782e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.708089527226628e-04
32, 7.522799968720000e-01, -3.682631394048258e-02, 1.653971543366992e-01, -2.259822795658413e-01, -1.155558371727087e-01, 4.232855060887628e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.904882591346134e-04
