"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         150,      -5.459541864,      -3.934162271,      -4.082934496,      -3.448790212,      -8.737593924
          0,           0,         151,      -5.465105019,      -3.935310866,      -4.085679127,      -3.455441801,      -8.719370482
          0,           0,         152,      -5.480119323,      -3.935661494,      -4.087630037,      -3.471134975,      -8.701376086
          0,           0,         153,      -5.503752613,      -3.932668153,      -4.085861747,      -3.494002694,      -8.683366723
          0,           0,         154,      -5.516571177,      -3.934214017,      -4.088824555,      -3.501272637,      -8.665454574
          0,           0,         155,      -5.555262802,      -3.933418519,      -4.091009217,      -3.540172838,      -8.647651228
          0,           0,         156,      -5.609861709,      -3.932231759,      -4.092465731,      -3.591894661,      -8.630001025
          0,           0,         157,      -5.652391609,      -3.931035997,      -4.093982225,      -3.625946756,      -8.612537796
          0,           0,         158,      -5.691139635,      -3.929936061,      -4.095603293,      -3.652425615,      -8.594987092
          0,           0,         159,      -5.724655256,      -3.928991314,       -4.09725918,      -3.671410825,      -8.577599371
          0,           0,         160,      -5.751518179,      -3.928216048,      -4.098865623,      -3.683737647,       -8.56108373
          0,           0,         161,      -5.773159298,      -3.927593943,      -4.100320731,       -3.69291238,      -8.542257451
          0,           0,         162,      -5.791384273,      -3.927165639,      -4.101600505,      -3.702132948,      -8.526013097
          0,           0,         163,      -5.808261559,      -3.926900119,      -4.102705944,      -3.714059055,      -8.507769614
          0,           0,         164,      -5.820685943,      -3.926777776,      -4.103677945,      -3.726690125,      -8.491288913
          0,           0,         165,      -5.837792554,      -3.926820345,      -4.104617694,      -3.748250865,      -8.475126923
          0,           0,         166,      -5.845537817,       -3.92702644,      -4.105621033,      -3.767178507,       -8.45884019
          0,           0,         167,      -5.848265892,       -3.92737939,      -4.106743555,       -3.78663144,      -8.442430359
          0,           0,         168,      -5.836785286,      -3.927843189,      -4.108012005,      -3.795408311,      -8.425990372
          0,           0,         169,      -5.815605298,      -3.928383995,      -4.109438202,      -3.793505406,      -8.409749378
          0,           0,         170,      -5.790090833,      -3.928853223,      -4.110826379,      -3.783067941,      -8.394294986
          0,           0,         171,      -5.757102008,       -3.92946123,      -4.112657437,       -3.75837015,      -8.380013485
          0,           0,         172,      -5.739192526,      -3.929875966,      -4.114338383,      -3.747480648,      -8.363641739
          0,           0,         173,      -5.718797792,      -3.930116112,      -4.115979581,      -3.728897435,      -8.347792624
          0,           0,         174,      -5.707902333,      -3.930128319,      -4.117571022,      -3.718941317,      -8.331373736
          0,           0,         175,      -5.700219897,      -3.929861992,      -4.119059104,      -3.709523705,       -8.31484124
          0,           0,         176,      -5.697881051,      -3.929310063,      -4.120450288,      -3.704022214,      -8.298845072
          0,           0,         177,      -5.700845357,      -3.928484399,      -4.121770122,      -3.702600683,      -8.282535528
          0,           0,         178,      -5.708555246,      -3.927403872,      -4.123045859,      -3.704662072,      -8.265415978
          0,           0,         179,      -5.720090455,      -3.926094865,      -4.124297403,      -3.709166108,      -8.249318559
          0,           0,         180,      -5.733919643,      -3.924562283,      -4.125514365,      -3.714386247,      -8.233783382
          0,           0,         181,      -5.749012209,      -3.922872282,       -4.12669383,      -3.719425973,      -8.218894461
          0,           0,         182,       -5.76445013,      -3.921043375,      -4.127837182,      -3.723990969,      -8.205076538
          0,           0,         183,      -5.781034718,      -3.919092591,      -4.128860951,      -3.729188253,      -8.191807984
          0,           0,         184,      -5.795146902,      -3.917060398,      -4.129752086,      -3.732204562,      -8.179849656
          0,           0,         185,      -5.807290006,      -3.914962738,      -4.130471167,      -3.734338454,      -8.163774883
          0,           0,         186,      -5.816929219,      -3.912835196,      -4.130999321,      -3.735790272,       -8.14849785
          0,           0,         187,      -5.824122694,       -3.91069491,      -4.131330232,      -3.737042051,      -8.132361281
          0,           0,         188,      -5.828269098,      -3.908565947,      -4.131469821,      -3.737826562,      -8.115745375
          0,           0,         189,      -5.829529632,      -3.906468183,      -4.131432194,      -3.738234487,      -8.100464814
          0,           0,         190,      -5.827674425,       -3.90441688,      -4.131238851,      -3.737854649,      -8.085437118
          0,           0,         191,      -5.823472406,       -3.90242112,       -4.13092089,      -3.736884758,      -8.070836896
