Point ID,Density,Energy,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
77,0.865888,2.60057,0.98502,0.969873,-0.146544,0,0.980881,0.11085,-0.0485607,0,0.12102,0.818,-0.406249,0.944696,1.12009,-0.169241,0,1.1328
78,0.875607,2.62603,0.971285,0.966915,-0.161257,0,0.98027,0.10113,-0.0470172,0,0.111525,0.830922,-0.377406,0.948967,1.10428,-0.184166,0,1.11953
79,0.886041,2.65327,0.956504,0.963087,-0.176939,0,0.979205,0.09181,-0.0453853,0,0.102415,0.844874,-0.346264,0.953538,1.08695,-0.199697,0,1.10515
80,0.897269,2.68252,0.940672,0.958304,-0.193708,0,0.977686,0.0829,-0.0436679,0,0.0936979,0.859947,-0.312619,0.958405,1.06802,-0.215886,0,1.08962
81,0.90933,2.71386,0.923659,0.952303,-0.211655,0,0.975541,0.0744,-0.0418661,0,0.0853705,0.87623,-0.276273,0.963599,1.04726,-0.232759,0,1.07281
82,0.922349,2.74759,0.905329,0.944848,-0.230933,0,0.972661,0.06633,-0.0399851,0,0.0774499,0.893894,-0.236843,0.96915,1.02439,-0.250375,0,1.05455
83,0.936426,2.78396,0.885496,0.935578,-0.251658,0,0.968834,0.05869,-0.0380264,0,0.0699323,0.91311,-0.193951,0.975101,0.999094,-0.268743,0,1.03461
84,0.951701,2.82327,0.863911,0.924026,-0.273967,0,0.963785,0.05149,-0.0359934,0,0.0628231,0.934102,-0.147093,0.981508,0.970921,-0.287871,0,1.0127
85,0.968439,2.86618,0.840159,0.909583,-0.297985,0,0.95715,0.04474,-0.0338903,0,0.0561268,0.957274,-0.0953707,0.988471,0.939225,-0.307696,0,0.988343
86,0.986891,2.91329,0.81383,0.891469,-0.323777,0,0.948445,0.03844,-0.0317181,0,0.0498365,0.983016,-0.0379118,0.996073,0.90331,-0.328078,0,0.961044
87,1.00735,2.96531,0.784487,0.868728,-0.351359,0,0.937092,0.0326,-0.0294811,0,0.0439533,1.01178,0.026285,1.00439,0.862388,-0.348795,0,0.930253
88,1.03016,3.02299,0.751437,0.839917,-0.380561,0,0.92211,0.02723,-0.0271842,0,0.0384767,1.04412,0.0984788,1.01355,0.815331,-0.369421,0,0.895118
89,1.05574,3.08737,0.713854,0.803302,-0.410739,0,0.90222,0.02232,-0.0248233,0,0.0333823,1.08074,0.180231,1.02369,0.760892,-0.389054,0,0.854587
90,1.08452,3.15937,0.670743,0.756487,-0.440911,0,0.8756,0.0179,-0.0224136,0,0.0286842,1.12236,0.273134,1.0349,0.697533,-0.40655,0,0.807363
91,1.11701,3.24021,0.620865,0.696778,-0.468702,0,0.83975,0.01395,-0.0199449,0,0.0243393,1.16982,0.379065,1.04728,0.623787,-0.419603,0,0.751783
92,1.15333,3.32991,0.562724,0.620734,-0.490154,0,0.790925,0.01049,-0.0174292,0,0.0203425,1.22349,0.498853,1.06083,0.538212,-0.424992,0,0.685777
93,1.19315,3.42761,0.494978,0.525772,-0.498648,0,0.724628,0.00752,-0.0148676,0,0.0166612,1.28303,0.631754,1.07533,0.440658,-0.417925,0,0.607323
94,1.23528,3.53012,0.415823,0.410867,-0.483665,0,0.63462,0.00504,-0.0122603,0,0.0132558,1.34684,0.774201,1.09031,0.33261,-0.391542,0,0.513745
95,1.27811,3.63398,0.324126,0.281193,-0.431713,0,0.515214,0.00305,-0.00960557,0,0.0100782,1.41206,0.919769,1.1048,0.220008,-0.337775,0,0.403107
96,1.31364,3.71906,0.222455,0.152266,-0.332196,0,0.36543,0.00156,-0.00691752,0,0.00709124,1.46729,1.04306,1.11696,0.115911,-0.252881,0,0.27818
97,1.34517,3.79704,0.108869,0.0480231,-0.177435,0,0.183819,0.00056,-0.00417316,0,0.00421057,1.51379,1.14686,1.12535,0.0357003,-0.131905,0,0.136651
