Point ID,Density,Energy,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
2522,1.02667,3.01574,0.762051,0.928347,0.065066,0,0.930625,1.04007,-0.266958,0,1.07378,1.03758,0.083887,1.01063,0.904232,0.0633758,0,0.90645
2523,1.15995,3.34758,0.557257,0.787999,0.0172168,0,0.788187,-0.0702585,-0.0236099,0,0.0741194,1.23192,0.51767,1.06205,0.679341,0.0148428,0,0.679504
2524,1.00563,2.96232,0.791941,0.941,0.0671021,0,0.943389,0.963731,-0.388825,0,1.03921,1.00793,0.0176987,1.00229,0.935732,0.0667264,0,0.938108
2525,1.0062,2.96388,0.791488,0.941521,-0.060244,0,0.943447,-0.00225788,-0.365223,0,0.36523,1.00863,0.0192679,1.00241,0.935717,-0.0598726,0,0.937631
2526,1.14276,3.30601,0.588138,0.816812,0.00455528,0,0.816824,-0.0834685,-0.0373805,0,0.0914565,1.20563,0.459005,1.05502,0.714771,0.00398621,0,0.714782
2527,0.893309,2.67299,0.949154,0.978541,0.0666618,0,0.980809,0.161442,0.475367,0,0.502033,0.853819,-0.326298,0.955794,1.09541,0.0746235,0,1.09795
2528,1.02612,3.01444,0.763218,0.922752,0.126629,0,0.9314,-0.0740666,0.220321,0,0.232437,1.03669,0.0819026,1.01031,0.899266,0.123406,0,0.907694
2529,1.05321,3.08284,0.724189,0.909859,0.0602986,0,0.911855,1.06051,-0.120219,0,1.06731,1.07524,0.16795,1.02092,0.863895,0.0572524,0,0.86579
2530,0.932188,2.77389,0.894667,0.972595,0.0301093,0,0.973061,0.470753,-0.573659,0,0.742087,0.906412,-0.208903,0.972348,1.04335,0.0322996,0,1.04385
2531,0.926542,2.75926,0.902459,0.974211,0.0199531,0,0.974415,0.398717,-0.56779,0,0.693802,0.898752,-0.226,0.970007,1.05145,0.021535,0,1.05167
2532,0.966608,2.86271,0.847142,0.960526,0.0581141,0,0.962283,0.744845,-0.535256,0,0.91722,0.953487,-0.103824,0.986426,0.993709,0.0601217,0,0.995526
2533,0.967386,2.8647,0.846046,0.960799,-0.0474036,0,0.961968,0.0900106,-0.44848,0,0.457423,0.954564,-0.10142,0.986746,0.993191,-0.0490018,0,0.994399
2534,1.08622,3.16482,0.672624,0.877223,0.0592586,0,0.879223,1.02965,-0.0379325,0,1.03035,1.12359,0.275876,1.03441,0.807595,0.0545551,0,0.809436
2535,1.08341,3.15826,0.67849,0.881968,0.0592248,0,0.883954,1.03276,-0.0419616,0,1.03361,1.11906,0.265757,1.03291,0.814069,0.0546653,0,0.815902
2536,1.0953,3.18721,0.657943,0.868765,-0.00540898,0,0.868782,1.02065,0.0326284,0,1.02117,1.13706,0.305941,1.03813,0.793175,-0.00493836,0,0.793191
2537,1.09974,3.19814,0.650683,0.863407,-0.00702752,0,0.863436,1.01655,0.0269772,0,1.01691,1.14367,0.320701,1.03995,0.7851,-0.00639016,0,0.785126
2538,1.16111,3.35046,0.555416,0.785773,0.034305,0,0.786521,-0.0694742,-0.0153331,0,0.0711461,1.23363,0.521489,1.06246,0.676744,0.0295451,0,0.677388
2539,1.10298,3.20757,0.650759,0.8655,-0.0314416,0,0.86607,-0.104647,-0.106981,0,0.149652,1.14702,0.328169,1.03993,0.784692,-0.028506,0,0.78521
2540,1.12889,3.27165,0.609802,0.8277,0.107197,0,0.834613,-0.0807259,0.0373181,0,0.0889343,1.18525,0.413509,1.04992,0.733195,0.0949577,0,0.739319
2541,0.874826,2.62431,0.973676,0.981353,0.0113523,0,0.981418,0.345479,0.538584,0,0.639867,0.829525,-0.380525,0.948217,1.12177,0.0129766,0,1.12184
2542,0.980676,2.89875,0.82742,0.954214,0.063519,0,0.956325,0.831455,-0.494593,0,0.96744,0.972985,-0.0603023,0.992157,0.973016,0.0647706,0,0.975169
2543,1.02153,3.0027,0.769301,0.931524,0.0658684,0,0.93385,1.02521,-0.298347,0,1.06774,1.03034,0.0677244,1.00862,0.911889,0.06448,0,0.914165
2544,1.1345,3.28428,0.596273,0.820003,0.0478761,0,0.821399,1.00623,-0.00552162,0,1.00625,1.19477,0.434753,1.05312,0.722786,0.0422001,0,0.724017
2545,1.12505,3.26126,0.612639,0.833745,0.0520421,0,0.835368,1.00906,-0.00888404,0,1.0091,1.18045,0.402791,1.04925,0.741076,0.0462577,0,0.742518
2546,0.95285,2.8272,0.865857,0.960853,0.107395,0,0.966836,0.0233718,0.369819,0,0.370557,0.934675,-0.145815,0.980926,1.0084,0.112709,0,1.01468
2547,0.993836,2.93241,0.809057,0.942394,0.121266,0,0.950165,-0.0394823,0.290438,0,0.29311,0.991281,-0.0194624,0.997429,0.94824,0.122018,0,0.956058
