"Time_Iter",    "Cur_Time"    ,     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,    "Avg_Press"   ,       "CD"       ,       "CL"       ,     "probe1"     
         96,              0.96,      -10.44009897,      -11.32141569,       -11.6840291,                 0,       1.129898089,    0.000806061327,      0.1189133195
         97,              0.97,      -10.43866807,      -11.32251417,      -11.66726592,                 0,       1.128663649,     0.00119214099,      0.1188987344
         98,              0.98,      -10.41945535,      -11.30294244,      -11.63860052,                 0,       1.127443112,    0.001571585333,      0.1188836484
         99,              0.99,      -10.40406498,      -11.28643726,        -11.620209,                 0,       1.126233295,    0.001938505128,      0.1188680526
        100,                 1,      -10.40334295,      -11.28533172,      -11.61902041,                 0,        1.12503053,    0.002289652983,      0.1188519263
        101,              1.01,      -10.41897258,      -11.30196049,      -11.63547392,                 0,       1.123845554,    0.002623528298,      0.1188352301
        102,              1.02,      -10.44578365,       -11.3310573,      -11.66683492,                 0,       1.122691889,    0.002938797761,      0.1188179006
        103,              1.03,      -10.47255575,      -11.36015607,      -11.70538036,                 0,       1.121577673,      0.0032334202,      0.1187998495
        104,              1.04,      -10.48615472,      -11.37380859,      -11.73694764,                 0,       1.120506394,    0.003504433168,      0.1187809667
        105,              1.05,      -10.48139601,      -11.36597778,      -11.74888369,                 0,        1.11947917,    0.003748032225,      0.1187611246
        106,              1.06,        -10.465534,      -11.34600363,      -11.74327028,                 0,       1.118493196,     0.00395989016,       0.118740182
        107,              1.07,      -10.45071079,      -11.32824614,      -11.73353373,                 0,       1.117539235,    0.004135876337,      0.1187179867
        108,              1.08,      -10.44596462,      -11.32247153,      -11.73143121,                 0,       1.116604577,    0.004272959665,      0.1186943763
        109,              1.09,      -10.45512958,      -11.33235127,      -11.74191885,                 0,       1.115682812,    0.004369506281,      0.1186691739
        110,               1.1,      -10.47691538,      -11.35639385,      -11.76359994,                 0,       1.114767591,    0.004424802891,      0.1186421825
        111,              1.11,      -10.50538001,      -11.38836151,      -11.78943801,                 0,       1.113856708,    0.004438317558,      0.1186131794
        112,              1.12,      -10.53136294,      -11.41837172,      -11.80858824,                 0,       1.112948795,    0.004409428016,      0.1185819129
        113,              1.13,       -10.5469281,      -11.43724725,      -11.81288748,                 0,       1.112043309,    0.004337461383,      0.1185481008
        114,              1.14,      -10.55077995,      -11.44277161,      -11.80447339,                 0,       1.111142005,     0.00422193738,      0.1185114309
        115,              1.15,      -10.54827858,      -11.44046606,      -11.79291808,                 0,       1.110247079,    0.004062663836,      0.1184715626
        116,              1.16,      -10.54641038,      -11.43817715,      -11.78655462,                 0,       1.109361217,    0.003859895859,      0.1184281311
        117,              1.17,        -10.549676,       -11.4412005,      -11.78925249,                 0,       1.108486077,     0.00361470396,      0.1183807512
        118,              1.18,      -10.55896269,      -11.45077262,      -11.80146551,                 0,       1.107624422,    0.003328996338,      0.1183290241
        119,              1.19,      -10.57188367,      -11.46429807,      -11.82116326,                 0,       1.106779861,     0.00300528926,      0.1182725448
        120,               1.2,      -10.58399629,       -11.4766416,       -11.8440528,                 0,       1.105955342,     0.00264637784,      0.1182109133
        121,              1.21,      -10.59111159,      -11.48288038,       -11.8644552,                 0,       1.105152341,    0.002255179806,      0.1181437469
        122,              1.22,      -10.59186427,      -11.48157171,      -11.87799965,                 0,       1.104371003,    0.001834718127,      0.1180706928
        123,              1.23,      -10.58845206,      -11.47565225,      -11.88442643,                 0,       1.103609951,    0.001388117586,      0.1179914401
        124,              1.24,      -10.58518557,      -11.47029013,       -11.8873813,                 0,       1.102874532,   0.0009186559766,       0.117905729
        125,              1.25,      -10.58546986,      -11.46946264,      -11.89090589,                 0,       1.102155204,    0.000430171265,      0.1178133584
        126,              1.26,      -10.59095295,      -11.47503193,      -11.89728581,                 0,       1.101447223,  -7.335528834e-05,      0.1177141892
        127,              1.27,       -10.6011743,      -11.48645418,      -11.90633492,                 0,       1.100746667,  -0.0005873087159,      0.1176081447
        128,              1.28,      -10.61381416,      -11.50111229,      -11.91561289,                 0,       1.100050508,   -0.001106711079,      0.1174952089
        129,              1.29,      -10.62560643,       -11.5152359,        -11.921601,                 0,       1.099357644,    -0.00162648943,      0.1173754224
        130,               1.3,      -10.63385562,      -11.52573445,      -11.92222457,                 0,       1.098668207,   -0.002141607786,      0.1172488772
        131,              1.31,      -10.63778609,      -11.53139811,      -11.91801592,                 0,       1.097983098,   -0.002647145466,      0.1171157094
        132,              1.32,      -10.63873758,      -11.53345258,      -11.91198892,                 0,        1.09730384,   -0.003138303131,      0.1169760917
        133,              1.33,      -10.63904147,      -11.53441008,       -11.9077372,                 0,       1.096632517,   -0.003610310103,      0.1168302255
        134,              1.34,        -10.640542,      -11.53626769,       -11.9074017,                 0,       1.095969364,    -0.00405830803,      0.1166783336
        135,              1.35,      -10.64390191,      -11.53981391,      -11.91167717,                 0,       1.095315473,   -0.004477403711,      0.1165206522
        136,              1.36,      -10.64852234,      -11.54439892,      -11.91978951,                 0,       1.094672137,   -0.004862730143,      0.1163574257
        137,              1.37,      -10.65305412,      -11.54852896,      -11.92994261,                 0,       1.094040466,   -0.005209630046,      0.1161889012
        138,              1.38,      -10.65619628,      -11.55080693,      -11.93991581,                 0,        1.09342121,   -0.005513841657,      0.1160153264
