"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         162,      -10.00137616,      -10.14331454,      -10.48212633,      -9.291980536
          0,           0,         163,      -10.01221861,       -10.1506502,      -10.48607359,      -9.311265653
          0,           0,         164,      -10.01757543,      -10.16371179,      -10.51228619,      -9.314507718
          0,           0,         165,       -10.0223836,      -10.16846202,      -10.51838493,      -9.312021907
          0,           0,         166,      -10.04902006,      -10.18264401,      -10.53703736,      -9.345962731
          0,           0,         167,       -10.0719221,      -10.20336223,      -10.57343944,      -9.366843433
          0,           0,         168,      -10.09561502,      -10.22026312,      -10.59546496,      -9.383683033
          0,           0,         169,      -10.13694945,      -10.24424216,       -10.6245538,      -9.431327642
          0,           0,         170,      -10.17399428,      -10.27528071,      -10.67004928,      -9.466863593
          0,           0,         171,      -10.20991694,      -10.30383022,      -10.70328244,      -9.496635051
          0,           0,         172,      -10.25918431,      -10.33598689,       -10.7393463,      -9.551513541
          0,           0,         173,      -10.30260542,        -10.375118,      -10.79039561,       -9.59390081
          0,           0,         174,       -10.3424707,      -10.41142822,      -10.82907974,      -9.628260861
          0,           0,         175,      -10.38052629,      -10.44716243,      -10.86313107,      -9.663594705
          0,           0,         176,      -10.41910079,      -10.48519457,      -10.90560072,      -9.701232159
          0,           0,         177,      -10.46465891,      -10.52412327,      -10.94940612,      -9.745924892
          0,           0,         178,       -10.5061247,       -10.5646223,      -10.98740325,      -9.785094536
          0,           0,         179,      -10.56789865,      -10.60769385,      -11.04033697,      -9.854474725
          0,           0,         180,      -10.63366022,      -10.65761826,      -11.10241343,      -9.920145394
          0,           0,         181,      -10.69889455,      -10.70999689,      -11.16005095,      -9.980427376
          0,           0,         182,      -10.75961992,      -10.76332845,      -11.21793412,      -10.03696986
          0,           0,         183,      -10.83470413,      -10.81368525,      -11.27927538,      -10.11778489
          0,           0,         184,      -10.91265788,      -10.87166367,      -11.35081423,      -10.19560264
          0,           0,         185,      -10.99346073,       -10.9329247,      -11.42303373,      -10.27184626
          0,           0,         186,      -11.07776903,      -10.99462944,      -11.49486258,      -10.35138018
          0,           0,         187,      -11.17043384,      -11.05306988,      -11.56334807,      -10.44741617
          0,           0,         188,      -11.26986597,        -11.117974,      -11.64099595,      -10.54607952
          0,           0,         189,      -11.37870921,      -11.18577299,       -11.7208807,      -10.65009051
          0,           0,         190,      -11.48834765,      -11.24834882,      -11.79070928,      -10.76027884
          0,           0,         191,       -11.6076292,      -11.31572961,      -11.86898835,       -10.8768378
          0,           0,         192,      -11.73054743,      -11.38079972,      -11.94207003,      -10.99522505
          0,           0,         193,      -11.83375209,      -11.44064444,      -12.00800125,      -11.10287345
          0,           0,         194,      -11.91216583,       -11.4978144,      -12.06515495,      -11.18589088
          0,           0,         195,      -11.95058719,      -11.55064295,      -12.11793051,      -11.23778234
          0,           0,         196,      -11.94204706,      -11.59786734,      -12.14790686,      -11.23418986
          0,           0,         197,      -11.92156459,      -11.64202304,      -12.18131319,      -11.22471864
          0,           0,         198,      -11.87707845,      -11.67705802,      -12.18373679,      -11.17729331
          0,           0,         199,      -11.84854543,      -11.71136542,      -12.20108448,      -11.15544793
          0,           0,         200,      -11.80696326,      -11.73413207,      -12.18808061,      -11.10831578
          0,           0,         201,      -11.78598827,      -11.75944523,      -12.19761168,      -11.09260448
          0,           0,         202,      -11.75472577,       -11.7725339,      -12.18130056,      -11.05551485
          0,           0,         203,      -11.74324653,      -11.79131623,       -12.1892769,      -11.04874999
          0,           0,         204,      -11.72263638,      -11.79868263,      -12.17650004,      -11.02254834
          0,           0,         205,       -11.6887536,      -11.79971658,      -12.15807868,      -10.98102917
          0,           0,         206,      -11.69074712,      -11.80792061,      -12.15924734,      -10.99192776
          0,           0,         207,       -11.6844417,      -11.81354662,      -12.16165309,      -10.98245843
          0,           0,         208,      -11.66842692,      -11.81210525,      -12.14883491,      -10.95929191
          0,           0,         209,      -11.67774222,       -11.8183569,      -12.15138143,      -10.97714825
          0,           0,         210,      -11.68215495,      -11.83033665,      -12.17661178,      -10.97928339
          0,           0,         211,      -11.68637243,      -11.83413725,      -12.18170471,      -10.97610167
          0,           0,         212,      -11.71251873,      -11.84765256,      -12.19957662,      -11.00960894
          0,           0,         213,      -11.73484056,      -11.86775228,      -12.23563485,      -11.02989524
          0,           0,         214,      -11.75786162,      -11.88389426,      -12.25716273,      -11.04602335
          0,           0,         215,      -11.79854357,      -11.90726868,      -12.28575122,      -11.09305343
          0,           0,         216,      -11.83477057,      -11.93764296,      -12.33091147,      -11.12777342
          0,           0,         217,      -11.86980294,      -11.96543435,      -12.36348844,      -11.15663092
          0,           0,         218,      -11.91835602,      -11.99700569,      -12.39897262,      -11.21083935
          0,           0,         219,      -11.96099404,      -12.03554553,      -12.44952512,      -11.25242341
          0,           0,         220,      -12.00006522,      -12.07119422,      -12.48741555,      -11.28595817
