"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         136,      -7.110768883,       -6.45549361,      -7.200985393,      -7.248247085,      -6.504791805,      -9.552568672
          0,           0,         137,       -7.11776053,      -6.458746479,      -7.211981946,      -7.259935479,      -6.511715576,      -9.552183355
          0,           0,         138,      -7.123793168,      -6.461832931,      -7.222895309,      -7.271563332,      -6.517638352,       -9.55179939
          0,           0,         139,      -7.128878533,      -6.464768609,      -7.233649848,      -7.283007089,      -6.522602798,      -9.551415597
          0,           0,         140,      -7.133057948,      -6.467573342,      -7.244198028,      -7.294194673,      -6.526686495,       -9.55102939
          0,           0,         141,      -7.136418746,      -6.470270023,      -7.254523213,      -7.305114079,      -6.530011868,      -9.550638525
          0,           0,         142,      -7.139063339,      -6.472883277,       -7.26463599,      -7.315798586,      -6.532706752,      -9.550242148
          0,           0,         143,      -7.141114721,      -6.475438405,      -7.274568348,      -7.326317647,      -6.534906298,      -9.549839917
          0,           0,         144,      -7.142708672,       -6.47796016,      -7.284364703,      -7.336761529,      -6.536743541,      -9.549431041
          0,           0,         145,      -7.143992573,      -6.480471993,       -7.29407095,      -7.347223915,      -6.538349958,      -9.549014109
          0,           0,         146,      -7.145116704,      -6.482995266,      -7.303723556,      -7.357783784,      -6.539849946,      -9.548588811
          0,           0,         147,      -7.146228769,      -6.485548789,      -7.313342013,      -7.368492692,      -6.541360126,      -9.548157246
          0,           0,         148,      -7.147468412,      -6.488148225,      -7.322925232,      -7.379365775,      -6.542988906,      -9.547721819
          0,           0,         149,      -7.148962781,      -6.490805082,      -7.332451461,      -7.390378163,      -6.544836495,      -9.547285919
          0,           0,         150,      -7.150821148,      -6.493530851,      -7.341882238,      -7.401470584,      -6.546992369,      -9.546850722
          0,           0,         151,      -7.153131148,       -6.49633072,      -7.351169646,       -7.41255823,      -6.549533195,      -9.546419149
          0,           0,         152,       -7.15595649,      -6.499205294,      -7.360265573,      -7.423546224,        -6.5525207,      -9.545994303
          0,           0,         153,      -7.159333817,      -6.502152618,      -7.369129858,      -7.434344687,       -6.55599755,      -9.545579395
          0,           0,         154,      -7.163271259,      -6.505166741,      -7.377738693,      -7.444884806,      -6.559984027,      -9.545176782
          0,           0,         155,      -7.167749136,      -6.508238037,      -7.386089299,      -7.455131884,      -6.564476328,      -9.544788626
          0,           0,         156,      -7.172722226,      -6.511354104,      -7.394201707,      -7.465092193,      -6.569446549,      -9.544417084
          0,           0,         157,      -7.178121682,      -6.514499963,      -7.402116652,       -7.47481237,      -6.574842293,      -9.544063378
          0,           0,         158,      -7.183858657,      -6.517658663,      -7.409889729,      -7.484372278,      -6.580588367,      -9.543729447
